Query_ID	Target_ID	Optimal_Offset	p-value	E-value	Overlap	Strand
filter0 	MA0014.2 PAX5	6.0	3.2542e-02	1.6889e+01	12.0	-
filter0 	MA0017.2 NR2F1	0.0	9.8554e-02	5.1150e+01	12.0	+
filter0 	MA0030.1 FOXF2	-1.0	1.4502e-02	7.5267e+00	11.0	-
filter0 	MA0031.1 FOXD1	-2.0	1.7710e-02	9.1915e+00	8.0	-
filter0 	MA0032.2 FOXC1	-2.0	4.3481e-02	2.2566e+01	10.0	-
filter0 	MA0033.2 FOXL1	-3.0	5.1202e-02	2.6574e+01	7.0	-
filter0 	MA0040.1 Foxq1	0.0	8.9455e-03	4.6427e+00	11.0	+
filter0 	MA0041.1 Foxd3	0.0	9.8179e-02	5.0955e+01	12.0	+
filter0 	MA0042.2 FOXI1	-3.0	6.0033e-02	3.1157e+01	7.0	-
filter0 	MA0047.2 Foxa2	-3.0	5.2215e-02	2.7099e+01	9.0	+
filter0 	MA0060.2 NFYA	1.0	1.7892e-02	9.2857e+00	12.0	+
filter0 	MA0089.1 MAFG::NFE2L1	-4.0	2.7335e-02	1.4187e+01	6.0	+
filter0 	MA0092.1 Hand1::Tcf3	-2.0	7.4479e-02	3.8655e+01	10.0	+
filter0 	MA0099.2 FOS::JUN	-6.0	6.0033e-02	3.1157e+01	6.0	+
filter0 	MA0117.2 Mafb	1.0	1.0764e-10	5.5866e-08	11.0	+
filter0 	MA0131.2 HINFP	-2.0	3.2633e-02	1.6936e+01	10.0	-
filter0 	MA0138.2 REST	11.0	2.6986e-02	1.4006e+01	10.0	-
filter0 	MA0140.2 GATA1::TAL1	-2.0	5.9918e-02	3.1097e+01	10.0	-
filter0 	MA0142.1 Pou5f1::Sox2	5.0	7.4231e-02	3.8526e+01	10.0	+
filter0 	MA0148.3 FOXA1	1.0	1.2293e-02	6.3802e+00	12.0	+
filter0 	MA0150.2 Nfe2l2	-3.0	1.7291e-03	8.9742e-01	9.0	-
filter0 	MA0157.2 FOXO3	-2.0	3.9061e-02	2.0273e+01	8.0	-
filter0 	MA0258.2 ESR2	3.0	7.7942e-02	4.0452e+01	12.0	-
filter0 	MA0462.1 BATF::JUN	-2.0	2.8411e-02	1.4745e+01	10.0	+
filter0 	MA0476.1 FOS	-4.0	2.9997e-02	1.5568e+01	8.0	+
filter0 	MA0477.1 FOSL1	-4.0	6.2021e-02	3.2189e+01	8.0	-
filter0 	MA0478.1 FOSL2	-3.0	3.5239e-02	1.8289e+01	9.0	+
filter0 	MA0480.1 Foxo1	0.0	3.5239e-02	1.8289e+01	11.0	+
filter0 	MA0481.1 FOXP1	0.0	2.3304e-02	1.2095e+01	12.0	-
filter0 	MA0488.1 JUN	-2.0	7.4114e-02	3.8465e+01	10.0	+
filter0 	MA0489.1 JUN(var.2)	0.0	2.2746e-03	1.1805e+00	12.0	+
filter0 	MA0490.1 JUNB	-3.0	3.1662e-02	1.6432e+01	9.0	+
filter0 	MA0491.1 JUND	-4.0	7.1857e-02	3.7294e+01	8.0	+
filter0 	MA0492.1 JUND(var.2)	-1.0	1.8555e-02	9.6301e+00	11.0	+
filter0 	MA0494.1 Nr1h3::Rxra	0.0	2.3201e-02	1.2041e+01	12.0	-
filter0 	MA0495.1 MAFF	3.0	-4.4409e-13	-2.3048e-10	12.0	-
filter0 	MA0496.1 MAFK	1.0	-3.6948e-13	-1.9176e-10	12.0	-
filter0 	MA0498.2 MEIS1	-5.0	7.0144e-02	3.6404e+01	7.0	+
filter0 	MA0499.1 Myod1	0.0	3.4464e-02	1.7887e+01	12.0	+
filter0 	MA0500.1 Myog	0.0	3.7158e-02	1.9285e+01	11.0	+
filter0 	MA0501.1 MAF::NFE2	1.0	4.4471e-07	2.3081e-04	12.0	-
filter0 	MA0507.1 POU2F2	0.0	2.9310e-02	1.5212e+01	12.0	-
filter0 	MA0511.2 RUNX2	-2.0	7.7624e-02	4.0287e+01	9.0	-
filter0 	MA0521.1 Tcf12	0.0	3.1662e-02	1.6432e+01	11.0	+
filter0 	MA0591.1 Bach1::Mafk	-2.0	1.5365e-04	7.9744e-02	10.0	-
filter0 	MA0593.1 FOXP2	-1.0	3.0026e-03	1.5584e+00	11.0	-
filter0 	MA0595.1 SREBF1	0.0	9.8967e-02	5.1364e+01	10.0	-
filter0 	MA0605.1 Atf3	-4.0	4.5863e-02	2.3803e+01	8.0	+
filter0 	MA0610.1 DMRT3	-1.0	9.1215e-02	4.7340e+01	11.0	-
filter0 	MA0612.1 EMX1	-1.0	4.7515e-02	2.4660e+01	10.0	+
filter0 	MA0613.1 FOXG1	-2.0	2.3678e-02	1.2289e+01	8.0	-
filter0 	MA0614.1 Foxj2	-2.0	1.3130e-02	6.8143e+00	8.0	-
